;t;Ps;Ta;yTi;Thm
0;2021-10-25 00:00:00;0.0;7.6;17.905454545454546;0.0
1;2021-10-25 00:15:00;0.0;7.6;17.849230769230772;0.0
2;2021-10-25 00:30:00;0.0;7.6;17.81818181818182;0.0
3;2021-10-25 00:45:00;0.0;7.6;17.793333333333333;0.0
4;2021-10-25 01:00:00;0.0;8.4;17.750000000000004;0.0
5;2021-10-25 01:15:00;0.0;8.4;17.715714285714284;0.0
6;2021-10-25 01:30:00;0.0;8.4;17.704545454545453;0.0
7;2021-10-25 01:45:00;0.0;8.4;17.64818181818182;0.0
8;2021-10-25 02:00:00;0.0;9.0;17.65090909090909;0.0
9;2021-10-25 02:15:00;0.0;9.0;17.624545454545455;0.0
10;2021-10-25 02:30:00;0.0;9.0;17.59166666666667;0.0
11;2021-10-25 02:45:00;0.0;9.0;17.551111111111112;0.0
12;2021-10-25 03:00:00;0.0;9.1;17.521538461538462;0.0
13;2021-10-25 03:15:00;0.0;9.1;17.509999999999998;0.0
14;2021-10-25 03:30:00;0.0;9.1;17.48;0.0
15;2021-10-25 03:45:00;0.0;9.1;17.46666666666667;0.0
16;2021-10-25 04:00:00;0.0;9.4;17.445555555555558;0.0
17;2021-10-25 04:15:00;0.0;9.4;17.424;40.39344262295082
18;2021-10-25 04:30:00;0.0;9.4;17.743571428571432;52.888888888888886
19;2021-10-25 04:45:00;0.0;9.4;18.24857142857143;46.66666666666667
20;2021-10-25 05:00:00;0.0;9.8;18.600666666666665;42.076906779661016
21;2021-10-25 05:15:00;0.0;9.8;18.87461538461538;32.216272189349105
22;2021-10-25 05:30:00;0.0;9.8;18.99090909090909;27.594615384615384
23;2021-10-25 05:45:00;0.0;9.8;18.854999999999997;34.213142857142856
24;2021-10-25 06:00:00;0.002777777777777778;10.1;18.852727272727275;29.722943722943725
25;2021-10-25 06:15:00;0.002777777777777778;10.1;18.918333333333333;24.90983606557377
26;2021-10-25 06:30:00;0.002777777777777778;10.1;19.018333333333334;22.495327868852456
27;2021-10-25 06:45:00;0.002777777777777778;10.1;18.962307692307693;26.544670329670332
28;2021-10-25 07:00:00;0.01388888888888889;10.1;18.84733333333333;30.1732131147541
29;2021-10-25 07:15:00;0.01388888888888889;10.1;18.935454545454544;28.831321022727273
30;2021-10-25 07:30:00;0.01388888888888889;10.1;18.875833333333333;31.34260752688172
31;2021-10-25 07:45:00;0.01388888888888889;10.1;19.217857142857145;15.634285714285715
32;2021-10-25 08:00:00;0.030555555555555558;10.5;19.215833333333332;15.411782051282053
33;2021-10-25 08:15:00;0.030555555555555558;10.5;19.047142857142855;26.638442622950816
34;2021-10-25 08:30:00;0.030555555555555558;10.5;18.88923076923077;33.75
35;2021-10-25 08:45:00;0.030555555555555558;10.5;18.975;25.916949152542372
36;2021-10-25 09:00:00;0.05555555555555556;11.1;19.089;23.084722222222226
37;2021-10-25 09:15:00;0.05555555555555556;11.1;18.99;28.01636070853462
38;2021-10-25 09:30:00;0.05555555555555556;11.1;18.939166666666665;30.20688218390805
39;2021-10-25 09:45:00;0.05555555555555556;11.1;19.044615384615383;24.862581486310305
40;2021-10-25 10:00:00;0.06666666666666667;11.5;19.045384615384616;24.963461538461537
41;2021-10-25 10:15:00;0.06666666666666667;11.5;18.999230769230767;28.989010989010993
42;2021-10-25 10:30:00;0.06666666666666667;11.5;19.022727272727273;28.535206611570246
43;2021-10-25 10:45:00;0.06666666666666667;11.5;18.99692307692308;24.075793269230772
44;2021-10-25 11:00:00;0.08055555555555556;11.7;18.999;27.862058823529416
45;2021-10-25 11:15:00;0.08055555555555556;11.7;19.049999999999997;20.578660049627786
46;2021-10-25 11:30:00;0.08055555555555556;11.7;19.184545454545457;16.26282131661442
47;2021-10-25 11:45:00;0.08055555555555556;11.7;18.973636363636363;27.256499321573948
48;2021-10-25 12:00:00;0.075;12.0;18.924444444444443;28.383703703703706
49;2021-10-25 12:15:00;0.075;12.0;18.934285714285718;29.23138321995465
50;2021-10-25 12:30:00;0.075;12.0;18.96818181818182;28.912613636363634
51;2021-10-25 12:45:00;0.075;12.0;19.09076923076923;21.66763125763126
52;2021-10-25 13:00:00;0.04722222222222222;12.0;19.003;26.992800000000003
53;2021-10-25 13:15:00;0.04722222222222222;12.0;18.995555555555555;26.328187134502933
54;2021-10-25 13:30:00;0.04722222222222222;12.0;18.96818181818182;32.18623167155425
55;2021-10-25 13:45:00;0.04722222222222222;12.0;19.072307692307692;25.63401856763926
56;2021-10-25 14:00:00;0.03888888888888888;12.2;18.99833333333333;24.46672131147541
57;2021-10-25 14:15:00;0.03888888888888888;12.2;18.942307692307693;27.69824561403508
58;2021-10-25 14:30:00;0.03888888888888888;12.2;19.01833333333333;22.75444444444445
59;2021-10-25 14:45:00;0.03888888888888888;12.2;19.04357142857143;24.393923076923073
60;2021-10-25 15:00:00;0.025;12.1;19.077999999999996;24.790000000000003
61;2021-10-25 15:15:00;0.025;12.1;19.113999999999994;17.8992
62;2021-10-25 15:30:00;0.025;12.1;19.062;23.483793103448274
63;2021-10-25 15:45:00;0.025;12.1;19.338;26.72019696969697
64;2021-10-25 16:00:00;0.005555555555555556;11.7;19.789999999999996;10.604873949579833
65;2021-10-25 16:15:00;0.005555555555555556;11.7;20.05461538461538;5.068969696969696
66;2021-10-25 16:30:00;0.005555555555555556;11.7;20.017272727272726;0.0
67;2021-10-25 16:45:00;0.005555555555555556;11.7;19.863846153846154;6.985756823821341
68;2021-10-25 17:00:00;0.0;11.4;19.597499999999997;19.027272727272727
