"","uuid","model_name","HTC","nCPBES","iteration","significance_prop","residual_std","residual_mean","Ti0","Tm0","Te0","Th0","Ts0","Ci","Cm","Ce","Ch","Cs","Rie","Rea","Ria","Rim","Rih","Ris","Rh","Aw","Ae","p11","p22","p33","p44","p55","e11","Ti0_p","Tm0_p","Te0_p","Th0_p","Ts0_p","Ci_p","Cm_p","Ce_p","Ch_p","Cs_p","Rie_p","Rea_p","Ria_p","Rim_p","Rih_p","Ris_p","Rh_p","Aw_p","Ae_p","p11_p","p22_p","p33_p","p44_p","p55_p","e11_p"
"1","1","TiTeTh",0.394001452672972,0.00987540416459306,3,26.6666666666667,0.336600973173625,0.00341466803198345,18.9549981524162,NA,19.2627921552388,2.89442115156213,NA,2.64063663633235,NA,18.9464470226461,0.10556560621721,NA,0.212333297769551,2.32572841041917,NA,NA,0.853537604206358,NA,0.392447260086218,6.22127917443415,NA,-8.6216725158264,-0.428023383722651,2.88451308450203,NA,NA,-20.929391299051,0,NA,0,0.891150037173147,NA,0.223392031070823,NA,0.196330455057915,0.209560412103244,NA,0.202343639562093,0.202331431046446,NA,NA,0.183698732209865,NA,0.200785139164937,0.30655311750524,NA,0.659729530617782,0,0.0113801129438857,NA,NA,0.661328075016519
"2","2","TiTmTh",0.0388415163572043,0.0219785945160821,3,93.3333333333333,0.096597593768647,0.00108165852965787,19.5343756238316,20.5925808772659,NA,2.44534971556454e-07,NA,6.05712871742853,19.936478758988,NA,0.100318606838825,NA,NA,NA,25.7456477961247,1.12573047840044,1.38159776218494,NA,0.0396179988439183,3.44279338607049,NA,-15.8658048658966,-2.49727404540889,2.61508438117602,NA,NA,-9.57534703586424,0,0,NA,0.843102734483778,NA,6.08656678391384e-08,0,NA,0,NA,NA,NA,3.39520973557939e-08,4.19714891064515e-07,0,NA,1.53013587667061e-06,3.38497739960086e-05,NA,0,0,0,NA,NA,4.44089209850063e-16
"3","3","TiTmTeTs",0.10480575482522,0.0210372184637088,4,84.2105263157895,0.109921860732728,-7.99495257148741e-05,17.8196027003341,18.9616789016751,15.3078281504889,NA,17.9054543045658,0.742176602561436,2.63847926642785,19.8616523314946,NA,0.107749273694936,2.54385972820515,6.99760105958898,NA,1.02499763746611,NA,1.45184397720035,0.0667260778286169,0.100696764634193,NA,-0.989290039868614,-3.3740666466108,-1.23871787068866,-13.5381242069771,NA,-16.7906494926705,0,0,0,NA,0,0.000879407226743734,8.42904046560733e-08,0,NA,0.329213848504926,7.69649218756996e-06,1.3977541346577e-09,NA,2.05586525581225e-09,NA,0.221252347958703,3.32949645631686e-09,0,NA,8.06661060881453e-06,2.06859012141791e-08,0,3.06421554796543e-14,NA,0.672412268531853
